[arch] mlp hidden [512, 512, 256, 256] in=201, 0.912M params (0.565M deployable)
exp011 outcomes6 [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 159/1720 loss=0.866242  best=-inf wall=0.73h
  ep2 shard 160/1720 loss=0.859255  best=-inf wall=0.735h
  ep2 shard 161/1720 loss=0.874616  best=-inf wall=0.74h
  ep2 shard 162/1720 loss=0.824679  best=-inf wall=0.744h
  ep2 shard 163/1720 loss=0.832664  best=-inf wall=0.747h
  ep2 shard 164/1720 loss=0.915179  best=-inf wall=0.752h
  ep2 shard 165/1720 loss=0.842357  best=-inf wall=0.757h
  ep2 shard 166/1720 loss=0.839974  best=-inf wall=0.762h
  ep2 shard 167/1720 loss=0.870905  best=-inf wall=0.767h
  ep2 shard 168/1720 loss=0.86826  best=-inf wall=0.772h
  ep2 shard 169/1720 loss=0.865098  best=-inf wall=0.777h
  ep2 shard 170/1720 loss=0.819984  best=-inf wall=0.782h
  ep2 shard 171/1720 loss=0.812995  best=-inf wall=0.787h
  ep2 shard 172/1720 loss=0.825158  best=-inf wall=0.792h
  saved epoch checkpoint -> experiments/exp028-mlp/cosine20/checkpoints/ep2.pt
  ep3 shard 173/1720 loss=0.851415  best=-inf wall=0.796h
  ep3 shard 174/1720 loss=0.813239  best=-inf wall=0.801h
  ep3 shard 175/1720 loss=0.900051  best=-inf wall=0.806h
  ep3 shard 176/1720 loss=0.847558  best=-inf wall=0.811h
  ep3 shard 177/1720 loss=0.835365  best=-inf wall=0.816h
  ep3 shard 178/1720 loss=0.886073  best=-inf wall=0.818h
  ep3 shard 179/1720 loss=0.863712  best=-inf wall=0.823h
  ep3 shard 180/1720 loss=0.869226  best=-inf wall=0.828h
  ep3 shard 181/1720 loss=0.793194  best=-inf wall=0.833h
  ep3 shard 182/1720 loss=0.849319  best=-inf wall=0.838h
  ep3 shard 183/1720 loss=0.886744  best=-inf wall=0.843h
  ep3 shard 184/1720 loss=0.861073  best=-inf wall=0.848h
  ep3 shard 185/1720 loss=0.857487  best=-inf wall=0.853h
  ep3 shard 186/1720 loss=0.813659  best=-inf wall=0.858h
  ep3 shard 187/1720 loss=0.850016  best=-inf wall=0.863h
  ep3 shard 188/1720 loss=0.876608  best=-inf wall=0.867h
  ep3 shard 189/1720 loss=0.860309  best=-inf wall=0.868h
  ep3 shard 190/1720 loss=0.892833  best=-inf wall=0.873h
  ep3 shard 191/1720 loss=0.843652  best=-inf wall=0.876h
  ep3 shard 192/1720 loss=0.880722  best=-inf wall=0.881h
  ep3 shard 193/1720 loss=0.845658  best=-inf wall=0.886h
  ep3 shard 194/1720 loss=0.830266  best=-inf wall=0.889h
  ep3 shard 195/1720 loss=0.827813  best=-inf wall=0.895h
  ep3 shard 196/1720 loss=0.855679  best=-inf wall=0.9h
  ep3 shard 197/1720 loss=0.787807  best=-inf wall=0.904h
  ep3 shard 198/1720 loss=0.842918  best=-inf wall=0.909h
  ep3 shard 199/1720 loss=0.92878  best=-inf wall=0.914h
