[arch] mlp hidden [512, 512, 256, 256] in=201, 0.912M params (0.565M deployable)
exp011 outcomes6 [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 117/1720 loss=0.870205  best=-inf wall=0.553h
  ep2 shard 118/1720 loss=0.86941  best=-inf wall=0.557h
  ep2 shard 119/1720 loss=0.815876  best=-inf wall=0.561h
  ep2 shard 120/1720 loss=0.824757  best=-inf wall=0.567h
  ep2 shard 121/1720 loss=0.857728  best=-inf wall=0.571h
  ep2 shard 122/1720 loss=0.846141  best=-inf wall=0.576h
  ep2 shard 123/1720 loss=0.872901  best=-inf wall=0.581h
  ep2 shard 124/1720 loss=0.808082  best=-inf wall=0.583h
  ep2 shard 125/1720 loss=0.848153  best=-inf wall=0.586h
  ep2 shard 126/1720 loss=0.831575  best=-inf wall=0.591h
  ep2 shard 127/1720 loss=0.864267  best=-inf wall=0.595h
  ep2 shard 128/1720 loss=0.85241  best=-inf wall=0.6h
  ep2 shard 129/1720 loss=0.850582  best=-inf wall=0.605h
  ep2 shard 130/1720 loss=0.872733  best=-inf wall=0.61h
  ep2 shard 131/1720 loss=0.829252  best=-inf wall=0.615h
  ep2 shard 132/1720 loss=0.833498  best=-inf wall=0.62h
  ep2 shard 133/1720 loss=0.849489  best=-inf wall=0.625h
  ep2 shard 134/1720 loss=0.84666  best=-inf wall=0.63h
  ep2 shard 135/1720 loss=0.825878  best=-inf wall=0.635h
  ep2 shard 136/1720 loss=0.893964  best=-inf wall=0.64h
  ep2 shard 137/1720 loss=0.848027  best=-inf wall=0.643h
  ep2 shard 138/1720 loss=0.826866  best=-inf wall=0.648h
  ep2 shard 139/1720 loss=0.84723  best=-inf wall=0.653h
  ep2 shard 140/1720 loss=0.86402  best=-inf wall=0.658h
  ep2 shard 141/1720 loss=0.865065  best=-inf wall=0.663h
  ep2 shard 142/1720 loss=0.863708  best=-inf wall=0.668h
  ep2 shard 143/1720 loss=0.877805  best=-inf wall=0.671h
  ep2 shard 144/1720 loss=0.908657  best=-inf wall=0.676h
  ep2 shard 145/1720 loss=0.878861  best=-inf wall=0.682h
  ep2 shard 146/1720 loss=0.838643  best=-inf wall=0.684h
  ep2 shard 147/1720 loss=0.825837  best=-inf wall=0.689h
  ep2 shard 148/1720 loss=0.846396  best=-inf wall=0.695h
  ep2 shard 149/1720 loss=0.885412  best=-inf wall=0.699h
  ep2 shard 150/1720 loss=0.853335  best=-inf wall=0.704h
  ep2 shard 151/1720 loss=0.895338  best=-inf wall=0.709h
  ep2 shard 152/1720 loss=0.790747  best=-inf wall=0.714h
  ep2 shard 153/1720 loss=0.858736  best=-inf wall=0.717h
  ep2 shard 154/1720 loss=0.861545  best=-inf wall=0.723h
  ep2 shard 155/1720 loss=0.824435  best=-inf wall=0.726h
  ep2 shard 156/1720 loss=0.882788  best=-inf wall=0.73h
  ep2 shard 157/1720 loss=0.873473  best=-inf wall=0.735h
  ep2 shard 158/1720 loss=0.86545  best=-inf wall=0.74h
  ep2 shard 159/1720 loss=0.800409  best=-inf wall=0.745h
  ep2 shard 160/1720 loss=0.865275  best=-inf wall=0.75h
  ep2 shard 161/1720 loss=0.86767  best=-inf wall=0.755h
  ep2 shard 162/1720 loss=0.896117  best=-inf wall=0.759h
  ep2 shard 163/1720 loss=0.874897  best=-inf wall=0.762h
  ep2 shard 164/1720 loss=0.845405  best=-inf wall=0.767h
  ep2 shard 165/1720 loss=0.877487  best=-inf wall=0.772h
  ep2 shard 166/1720 loss=0.862523  best=-inf wall=0.777h
  ep2 shard 167/1720 loss=0.868773  best=-inf wall=0.782h
  ep2 shard 168/1720 loss=0.843763  best=-inf wall=0.787h
  ep2 shard 169/1720 loss=0.831338  best=-inf wall=0.792h
  ep2 shard 170/1720 loss=0.864031  best=-inf wall=0.797h
  ep2 shard 171/1720 loss=0.83204  best=-inf wall=0.802h
  ep2 shard 172/1720 loss=0.854535  best=-inf wall=0.807h
  saved epoch checkpoint -> experiments/exp028-mlp/ref20/checkpoints/ep2.pt
  ep3 shard 173/1720 loss=0.880026  best=-inf wall=0.811h
  ep3 shard 174/1720 loss=0.831925  best=-inf wall=0.816h
  ep3 shard 175/1720 loss=0.858293  best=-inf wall=0.821h
  ep3 shard 176/1720 loss=0.842926  best=-inf wall=0.827h
  ep3 shard 177/1720 loss=0.870059  best=-inf wall=0.832h
  ep3 shard 178/1720 loss=0.877579  best=-inf wall=0.833h
  ep3 shard 179/1720 loss=0.880953  best=-inf wall=0.838h
  ep3 shard 180/1720 loss=0.875773  best=-inf wall=0.844h
  ep3 shard 181/1720 loss=0.88294  best=-inf wall=0.849h
  ep3 shard 182/1720 loss=0.826281  best=-inf wall=0.852h
  ep3 shard 183/1720 loss=0.908574  best=-inf wall=0.857h
  ep3 shard 184/1720 loss=0.852309  best=-inf wall=0.862h
  ep3 shard 185/1720 loss=0.836942  best=-inf wall=0.868h
  ep3 shard 186/1720 loss=0.861067  best=-inf wall=0.872h
  ep3 shard 187/1720 loss=0.829912  best=-inf wall=0.877h
  ep3 shard 188/1720 loss=0.847278  best=-inf wall=0.88h
  ep3 shard 189/1720 loss=0.870248  best=-inf wall=0.882h
  ep3 shard 190/1720 loss=0.813688  best=-inf wall=0.887h
  ep3 shard 191/1720 loss=0.834506  best=-inf wall=0.89h
  ep3 shard 192/1720 loss=0.840607  best=-inf wall=0.895h
  ep3 shard 193/1720 loss=0.849031  best=-inf wall=0.899h
  ep3 shard 194/1720 loss=0.816463  best=-inf wall=0.902h
  ep3 shard 195/1720 loss=0.891231  best=-inf wall=0.907h
  ep3 shard 196/1720 loss=0.843559  best=-inf wall=0.912h
  ep3 shard 197/1720 loss=0.852821  best=-inf wall=0.916h
  ep3 shard 198/1720 loss=0.863724  best=-inf wall=0.921h
  ep3 shard 199/1720 loss=0.868615  best=-inf wall=0.926h
  ep3 shard 200/1720 loss=0.823755  best=-inf wall=0.931h
  ep3 shard 201/1720 loss=0.865975  best=-inf wall=0.936h
  ep3 shard 202/1720 loss=0.88518  best=-inf wall=0.941h
  ep3 shard 203/1720 loss=0.856037  best=-inf wall=0.945h
  ep3 shard 204/1720 loss=0.87348  best=-inf wall=0.95h
  ep3 shard 205/1720 loss=0.84549  best=-inf wall=0.955h
  ep3 shard 206/1720 loss=0.871136  best=-inf wall=0.96h
  ep3 shard 207/1720 loss=0.842437  best=-inf wall=0.965h
  ep3 shard 208/1720 loss=0.855843  best=-inf wall=0.97h
  ep3 shard 209/1720 loss=0.920574  best=-inf wall=0.975h
  ep3 shard 210/1720 loss=0.882838  best=-inf wall=0.981h
  ep3 shard 211/1720 loss=0.812342  best=-inf wall=0.986h
  ep3 shard 212/1720 loss=0.830579  best=-inf wall=0.991h
  ep3 shard 213/1720 loss=0.884328  best=-inf wall=0.996h
  ep3 shard 214/1720 loss=0.846565  best=-inf wall=1.001h
  ep3 shard 215/1720 loss=0.834917  best=-inf wall=1.006h
  ep3 shard 216/1720 loss=0.84335  best=-inf wall=1.009h
  ep3 shard 217/1720 loss=0.900459  best=-inf wall=1.014h
  ep3 shard 218/1720 loss=0.887132  best=-inf wall=1.019h
  ep3 shard 219/1720 loss=0.867501  best=-inf wall=1.024h
  ep3 shard 220/1720 loss=0.907908  best=-inf wall=1.029h
  ep3 shard 221/1720 loss=0.866116  best=-inf wall=1.034h
  ep3 shard 222/1720 loss=0.86235  best=-inf wall=1.036h
  ep3 shard 223/1720 loss=0.834765  best=-inf wall=1.042h
  ep3 shard 224/1720 loss=0.853467  best=-inf wall=1.046h
  ep3 shard 225/1720 loss=0.829641  best=-inf wall=1.051h
  ep3 shard 226/1720 loss=0.93601  best=-inf wall=1.057h
  ep3 shard 227/1720 loss=0.824561  best=-inf wall=1.059h
  ep3 shard 228/1720 loss=0.81564  best=-inf wall=1.063h
  ep3 shard 229/1720 loss=0.848827  best=-inf wall=1.066h
  ep3 shard 230/1720 loss=0.881893  best=-inf wall=1.072h
  ep3 shard 231/1720 loss=0.781686  best=-inf wall=1.077h
  ep3 shard 232/1720 loss=0.865897  best=-inf wall=1.081h
  ep3 shard 233/1720 loss=0.87094  best=-inf wall=1.086h
  ep3 shard 234/1720 loss=0.865971  best=-inf wall=1.091h
  ep3 shard 235/1720 loss=0.858607  best=-inf wall=1.096h
  ep3 shard 236/1720 loss=0.840985  best=-inf wall=1.101h
  ep3 shard 237/1720 loss=0.880732  best=-inf wall=1.106h
  ep3 shard 238/1720 loss=0.88198  best=-inf wall=1.111h
  ep3 shard 239/1720 loss=0.918242  best=-inf wall=1.116h
  ep3 shard 240/1720 loss=0.824405  best=-inf wall=1.122h
  ep3 shard 241/1720 loss=0.810727  best=-inf wall=1.127h
  ep3 shard 242/1720 loss=0.907488  best=-inf wall=1.132h
  ep3 shard 243/1720 loss=0.914469  best=-inf wall=1.133h
  ep3 shard 244/1720 loss=0.886716  best=-inf wall=1.138h
  ep3 shard 245/1720 loss=0.845281  best=-inf wall=1.143h
  ep3 shard 246/1720 loss=0.830087  best=-inf wall=1.148h
  ep3 shard 247/1720 loss=0.867676  best=-inf wall=1.153h
