[arch] mlp hidden [512, 512, 256, 256] in=210, 0.917M params (0.569M deployable)
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 123/688 loss=0.827007  best=-inf wall=0.624h
  ep2 shard 124/688 loss=0.824619  best=-inf wall=0.627h
  ep2 shard 125/688 loss=0.833389  best=-inf wall=0.631h
  ep2 shard 126/688 loss=0.883263  best=-inf wall=0.639h
  ep2 shard 127/688 loss=0.878841  best=-inf wall=0.645h
  ep2 shard 128/688 loss=0.844691  best=-inf wall=0.65h
  ep2 shard 129/688 loss=0.903471  best=-inf wall=0.655h
  ep2 shard 130/688 loss=0.878338  best=-inf wall=0.661h
  ep2 shard 131/688 loss=0.880688  best=-inf wall=0.666h
  ep2 shard 132/688 loss=0.803684  best=-inf wall=0.671h
  ep2 shard 133/688 loss=0.8627  best=-inf wall=0.676h
  ep2 shard 134/688 loss=0.827372  best=-inf wall=0.681h
  ep2 shard 135/688 loss=0.863024  best=-inf wall=0.686h
  ep2 shard 136/688 loss=0.887201  best=-inf wall=0.691h
  ep2 shard 137/688 loss=0.854942  best=-inf wall=0.695h
  ep2 shard 138/688 loss=0.809654  best=-inf wall=0.7h
  ep2 shard 139/688 loss=0.879704  best=-inf wall=0.705h
  ep2 shard 140/688 loss=0.826252  best=-inf wall=0.71h
  ep2 shard 141/688 loss=0.865993  best=-inf wall=0.715h
  ep2 shard 142/688 loss=0.887061  best=-inf wall=0.721h
  ep2 shard 143/688 loss=0.879061  best=-inf wall=0.723h
  ep2 shard 144/688 loss=0.829795  best=-inf wall=0.729h
  ep2 shard 145/688 loss=0.85143  best=-inf wall=0.734h
  ep2 shard 146/688 loss=0.857482  best=-inf wall=0.737h
  ep2 shard 147/688 loss=0.813098  best=-inf wall=0.743h
  ep2 shard 148/688 loss=0.82128  best=-inf wall=0.75h
  ep2 shard 149/688 loss=0.884778  best=-inf wall=0.769h
  ep2 shard 150/688 loss=0.822286  best=-inf wall=0.782h
  ep2 shard 151/688 loss=0.87888  best=-inf wall=0.797h
  ep2 shard 152/688 loss=0.88013  best=-inf wall=0.819h
  ep2 shard 153/688 loss=0.791956  best=-inf wall=0.83h
  ep2 shard 154/688 loss=0.884091  best=-inf wall=0.842h
  ep2 shard 155/688 loss=0.863969  best=-inf wall=0.855h
  ep2 shard 156/688 loss=0.837351  best=-inf wall=0.868h
  ep2 shard 157/688 loss=0.868797  best=-inf wall=0.879h
  ep2 shard 158/688 loss=0.829042  best=-inf wall=0.892h
  ep2 shard 159/688 loss=0.901525  best=-inf wall=0.901h
  ep2 shard 160/688 loss=0.907577  best=-inf wall=0.912h
  ep2 shard 161/688 loss=0.816672  best=-inf wall=0.926h
  ep2 shard 162/688 loss=0.860645  best=-inf wall=0.937h
  ep2 shard 163/688 loss=0.881744  best=-inf wall=0.941h
  ep2 shard 164/688 loss=0.823319  best=-inf wall=0.946h
  ep2 shard 165/688 loss=0.820164  best=-inf wall=0.951h
  ep2 shard 166/688 loss=0.85044  best=-inf wall=0.957h
  ep2 shard 167/688 loss=0.851728  best=-inf wall=0.962h
  ep2 shard 168/688 loss=0.834511  best=-inf wall=0.967h
  ep2 shard 169/688 loss=0.839049  best=-inf wall=0.972h
  ep2 shard 170/688 loss=0.85421  best=-inf wall=0.977h
  ep2 shard 171/688 loss=0.876754  best=-inf wall=0.983h
  ep2 shard 172/688 loss=0.856302  best=-inf wall=0.988h
  saved epoch checkpoint -> experiments/exp028-mlp/debroadcast_all26/checkpoints/ep2.pt
  ep3 shard 173/688 loss=0.859589  best=-inf wall=0.993h
  ep3 shard 174/688 loss=0.870998  best=-inf wall=0.998h
  ep3 shard 175/688 loss=0.835253  best=-inf wall=1.003h
  ep3 shard 176/688 loss=0.851179  best=-inf wall=1.008h
  ep3 shard 177/688 loss=0.896713  best=-inf wall=1.013h
  ep3 shard 178/688 loss=0.838405  best=-inf wall=1.015h
  ep3 shard 179/688 loss=0.874946  best=-inf wall=1.02h
  ep3 shard 180/688 loss=0.853779  best=-inf wall=1.026h
  ep3 shard 181/688 loss=0.852506  best=-inf wall=1.031h
  ep3 shard 182/688 loss=0.85085  best=-inf wall=1.036h
  ep3 shard 183/688 loss=0.887404  best=-inf wall=1.041h
  ep3 shard 184/688 loss=0.891962  best=-inf wall=1.046h
  ep3 shard 185/688 loss=0.828862  best=-inf wall=1.051h
  ep3 shard 186/688 loss=0.817537  best=-inf wall=1.056h
  ep3 shard 187/688 loss=0.876103  best=-inf wall=1.061h
  ep3 shard 188/688 loss=0.83987  best=-inf wall=1.065h
  ep3 shard 189/688 loss=0.845356  best=-inf wall=1.066h
  ep3 shard 190/688 loss=0.873098  best=-inf wall=1.071h
  ep3 shard 191/688 loss=0.882  best=-inf wall=1.075h
  ep3 shard 192/688 loss=0.839629  best=-inf wall=1.08h
  ep3 shard 193/688 loss=0.845671  best=-inf wall=1.085h
  ep3 shard 194/688 loss=0.866904  best=-inf wall=1.088h
  ep3 shard 195/688 loss=0.83578  best=-inf wall=1.093h
  ep3 shard 196/688 loss=0.868942  best=-inf wall=1.099h
  ep3 shard 197/688 loss=0.885101  best=-inf wall=1.104h
  ep3 shard 198/688 loss=0.845476  best=-inf wall=1.111h
  ep3 shard 199/688 loss=0.878  best=-inf wall=1.119h
  ep3 shard 200/688 loss=0.872673  best=-inf wall=1.126h
  ep3 shard 201/688 loss=0.900389  best=-inf wall=1.134h
  ep3 shard 202/688 loss=0.936555  best=-inf wall=1.141h
  ep3 shard 203/688 loss=0.854295  best=-inf wall=1.148h
  ep3 shard 204/688 loss=0.819485  best=-inf wall=1.155h
  ep3 shard 205/688 loss=0.848877  best=-inf wall=1.163h
  ep3 shard 206/688 loss=0.839556  best=-inf wall=1.17h
  ep3 shard 207/688 loss=0.861886  best=-inf wall=1.178h
  ep3 shard 208/688 loss=0.882745  best=-inf wall=1.185h
  ep3 shard 209/688 loss=0.874381  best=-inf wall=1.193h
  ep3 shard 210/688 loss=0.857394  best=-inf wall=1.2h
  ep3 shard 211/688 loss=0.836888  best=-inf wall=1.206h
  ep3 shard 212/688 loss=0.848469  best=-inf wall=1.211h
  ep3 shard 213/688 loss=0.809131  best=-inf wall=1.216h
  ep3 shard 214/688 loss=0.821844  best=-inf wall=1.221h
  ep3 shard 215/688 loss=0.830296  best=-inf wall=1.226h
  ep3 shard 216/688 loss=0.87616  best=-inf wall=1.229h
  ep3 shard 217/688 loss=0.872881  best=-inf wall=1.234h
  ep3 shard 218/688 loss=0.888922  best=-inf wall=1.239h
  ep3 shard 219/688 loss=0.846373  best=-inf wall=1.245h
  ep3 shard 220/688 loss=0.865202  best=-inf wall=1.25h
  ep3 shard 221/688 loss=0.875202  best=-inf wall=1.255h
  ep3 shard 222/688 loss=0.880168  best=-inf wall=1.258h
  ep3 shard 223/688 loss=0.871033  best=-inf wall=1.263h
  ep3 shard 224/688 loss=0.859976  best=-inf wall=1.268h
  ep3 shard 225/688 loss=0.854466  best=-inf wall=1.273h
  ep3 shard 226/688 loss=0.857524  best=-inf wall=1.278h
  ep3 shard 227/688 loss=0.832932  best=-inf wall=1.281h
  ep3 shard 228/688 loss=0.823588  best=-inf wall=1.286h
  ep3 shard 229/688 loss=0.873293  best=-inf wall=1.289h
  ep3 shard 230/688 loss=0.844284  best=-inf wall=1.294h
  ep3 shard 231/688 loss=0.842847  best=-inf wall=1.299h
  ep3 shard 232/688 loss=0.814126  best=-inf wall=1.304h
  ep3 shard 233/688 loss=0.885294  best=-inf wall=1.31h
