[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 165/1720 loss=6.7e-05  best=-inf wall=0.757h
  ep2 shard 166/1720 loss=0.00013  best=-inf wall=0.762h
  ep2 shard 167/1720 loss=9e-05  best=-inf wall=0.767h
  ep2 shard 168/1720 loss=8.1e-05  best=-inf wall=0.772h
  ep2 shard 169/1720 loss=8.4e-05  best=-inf wall=0.777h
  ep2 shard 170/1720 loss=8.6e-05  best=-inf wall=0.782h
  ep2 shard 171/1720 loss=8e-05  best=-inf wall=0.787h
  ep2 shard 172/1720 loss=8.5e-05  best=-inf wall=0.792h
  saved epoch checkpoint -> experiments/exp028-mlp/scalar20/checkpoints/ep2.pt
  ep3 shard 173/1720 loss=8.4e-05  best=-inf wall=0.796h
  ep3 shard 174/1720 loss=7.8e-05  best=-inf wall=0.801h
  ep3 shard 175/1720 loss=9.5e-05  best=-inf wall=0.806h
  ep3 shard 176/1720 loss=7.7e-05  best=-inf wall=0.811h
  ep3 shard 177/1720 loss=9.5e-05  best=-inf wall=0.816h
  ep3 shard 178/1720 loss=8.5e-05  best=-inf wall=0.818h
  ep3 shard 179/1720 loss=7.1e-05  best=-inf wall=0.822h
  ep3 shard 180/1720 loss=9.8e-05  best=-inf wall=0.828h
  ep3 shard 181/1720 loss=6.6e-05  best=-inf wall=0.832h
  ep3 shard 182/1720 loss=7.1e-05  best=-inf wall=0.836h
  ep3 shard 183/1720 loss=6.9e-05  best=-inf wall=0.841h
  ep3 shard 184/1720 loss=7.9e-05  best=-inf wall=0.846h
  ep3 shard 185/1720 loss=0.0001  best=-inf wall=0.851h
  ep3 shard 186/1720 loss=5.9e-05  best=-inf wall=0.856h
  ep3 shard 187/1720 loss=7.6e-05  best=-inf wall=0.861h
  ep3 shard 188/1720 loss=8.5e-05  best=-inf wall=0.864h
  ep3 shard 189/1720 loss=8.9e-05  best=-inf wall=0.866h
  ep3 shard 190/1720 loss=7.4e-05  best=-inf wall=0.871h
  ep3 shard 191/1720 loss=8.2e-05  best=-inf wall=0.874h
  ep3 shard 192/1720 loss=8.1e-05  best=-inf wall=0.879h
  ep3 shard 193/1720 loss=0.000112  best=-inf wall=0.884h
  ep3 shard 194/1720 loss=0.000108  best=-inf wall=0.887h
  ep3 shard 195/1720 loss=8.9e-05  best=-inf wall=0.892h
  ep3 shard 196/1720 loss=7.4e-05  best=-inf wall=0.897h
  ep3 shard 197/1720 loss=7e-05  best=-inf wall=0.901h
  ep3 shard 198/1720 loss=0.0001  best=-inf wall=0.906h
  ep3 shard 199/1720 loss=8.7e-05  best=-inf wall=0.911h
  ep3 shard 200/1720 loss=7.7e-05  best=-inf wall=0.916h
  ep3 shard 201/1720 loss=8.1e-05  best=-inf wall=0.92h
  ep3 shard 202/1720 loss=7.6e-05  best=-inf wall=0.925h
  ep3 shard 203/1720 loss=8.8e-05  best=-inf wall=0.929h
  ep3 shard 204/1720 loss=8.2e-05  best=-inf wall=0.934h
  ep3 shard 205/1720 loss=7.6e-05  best=-inf wall=0.939h
  ep3 shard 206/1720 loss=8.5e-05  best=-inf wall=0.944h
  ep3 shard 207/1720 loss=7.9e-05  best=-inf wall=0.949h
  ep3 shard 208/1720 loss=7.1e-05  best=-inf wall=0.954h
  ep3 shard 209/1720 loss=8.6e-05  best=-inf wall=0.959h
  ep3 shard 210/1720 loss=7.7e-05  best=-inf wall=0.964h
  ep3 shard 211/1720 loss=7.9e-05  best=-inf wall=0.969h
  ep3 shard 212/1720 loss=8.4e-05  best=-inf wall=0.974h
  ep3 shard 213/1720 loss=7.2e-05  best=-inf wall=0.979h
  ep3 shard 214/1720 loss=7.2e-05  best=-inf wall=0.984h
  ep3 shard 215/1720 loss=4.6e-05  best=-inf wall=0.99h
  ep3 shard 216/1720 loss=6.9e-05  best=-inf wall=0.993h
  ep3 shard 217/1720 loss=6e-05  best=-inf wall=0.997h
  ep3 shard 218/1720 loss=0.000104  best=-inf wall=1.002h
  ep3 shard 219/1720 loss=6.5e-05  best=-inf wall=1.007h
  ep3 shard 220/1720 loss=9e-05  best=-inf wall=1.012h
  ep3 shard 221/1720 loss=9.1e-05  best=-inf wall=1.017h
  ep3 shard 222/1720 loss=7e-05  best=-inf wall=1.02h
  ep3 shard 223/1720 loss=8.4e-05  best=-inf wall=1.025h
  ep3 shard 224/1720 loss=8.4e-05  best=-inf wall=1.03h
  ep3 shard 225/1720 loss=7.3e-05  best=-inf wall=1.035h
  ep3 shard 226/1720 loss=7e-05  best=-inf wall=1.04h
  ep3 shard 227/1720 loss=6.4e-05  best=-inf wall=1.043h
  ep3 shard 228/1720 loss=7.6e-05  best=-inf wall=1.047h
  ep3 shard 229/1720 loss=7.9e-05  best=-inf wall=1.05h
  ep3 shard 230/1720 loss=8e-05  best=-inf wall=1.056h
  ep3 shard 231/1720 loss=6.6e-05  best=-inf wall=1.061h
  ep3 shard 232/1720 loss=7.1e-05  best=-inf wall=1.065h
  ep3 shard 233/1720 loss=7.9e-05  best=-inf wall=1.07h
  ep3 shard 234/1720 loss=6.6e-05  best=-inf wall=1.075h
  ep3 shard 235/1720 loss=7.2e-05  best=-inf wall=1.08h
  ep3 shard 236/1720 loss=8e-05  best=-inf wall=1.085h
  ep3 shard 237/1720 loss=8.5e-05  best=-inf wall=1.089h
  ep3 shard 238/1720 loss=7e-05  best=-inf wall=1.094h
  ep3 shard 239/1720 loss=7.9e-05  best=-inf wall=1.1h
  ep3 shard 240/1720 loss=7.1e-05  best=-inf wall=1.105h
  ep3 shard 241/1720 loss=6.5e-05  best=-inf wall=1.11h
  ep3 shard 242/1720 loss=9.4e-05  best=-inf wall=1.115h
  ep3 shard 243/1720 loss=7.1e-05  best=-inf wall=1.117h
  ep3 shard 244/1720 loss=7.6e-05  best=-inf wall=1.122h
  ep3 shard 245/1720 loss=6.3e-05  best=-inf wall=1.126h
  ep3 shard 246/1720 loss=7.4e-05  best=-inf wall=1.131h
  ep3 shard 247/1720 loss=6.4e-05  best=-inf wall=1.136h
  ep3 shard 248/1720 loss=7.6e-05  best=-inf wall=1.141h
  ep3 shard 249/1720 loss=6.8e-05  best=-inf wall=1.146h
  ep3 shard 250/1720 loss=7.5e-05  best=-inf wall=1.151h
  ep3 shard 251/1720 loss=6.1e-05  best=-inf wall=1.157h
  ep3 shard 252/1720 loss=7.2e-05  best=-inf wall=1.161h
  ep3 shard 253/1720 loss=7.2e-05  best=-inf wall=1.165h
  ep3 shard 254/1720 loss=8e-05  best=-inf wall=1.168h
  ep3 shard 255/1720 loss=8.9e-05  best=-inf wall=1.171h
  ep3 shard 256/1720 loss=6.3e-05  best=-inf wall=1.176h
  ep3 shard 257/1720 loss=6.5e-05  best=-inf wall=1.18h
  ep3 shard 258/1720 loss=6.8e-05  best=-inf wall=1.182h
  saved epoch checkpoint -> experiments/exp028-mlp/scalar20/checkpoints/ep3.pt
  ep4 shard 259/1720 loss=4.9e-05  best=-inf wall=1.186h
  ep4 shard 260/1720 loss=7.8e-05  best=-inf wall=1.191h
  ep4 shard 261/1720 loss=5e-05  best=-inf wall=1.196h
  ep4 shard 262/1720 loss=6.7e-05  best=-inf wall=1.201h
  ep4 shard 263/1720 loss=6.3e-05  best=-inf wall=1.203h
  ep4 shard 264/1720 loss=8.3e-05  best=-inf wall=1.207h
  ep4 shard 265/1720 loss=6.8e-05  best=-inf wall=1.209h
  ep4 shard 266/1720 loss=5.8e-05  best=-inf wall=1.214h
  ep4 shard 267/1720 loss=6.1e-05  best=-inf wall=1.218h
  ep4 shard 268/1720 loss=7e-05  best=-inf wall=1.221h
