[arch] mlp hidden [512, 512, 256, 256], 1.018M parameters
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep3 shard 216/688 loss=0.861849  best=-inf wall=1.041h
  ep3 shard 217/688 loss=0.843421  best=-inf wall=1.046h
  ep3 shard 218/688 loss=0.905164  best=-inf wall=1.052h
  ep3 shard 219/688 loss=0.812648  best=-inf wall=1.057h
  ep3 shard 220/688 loss=0.910917  best=-inf wall=1.062h
  ep3 shard 221/688 loss=0.884453  best=-inf wall=1.067h
  ep3 shard 222/688 loss=0.865511  best=-inf wall=1.07h
  ep3 shard 223/688 loss=0.883538  best=-inf wall=1.075h
  ep3 shard 224/688 loss=0.853653  best=-inf wall=1.08h
  ep3 shard 225/688 loss=0.889138  best=-inf wall=1.085h
  ep3 shard 226/688 loss=0.862606  best=-inf wall=1.089h
  ep3 shard 227/688 loss=0.859777  best=-inf wall=1.092h
  ep3 shard 228/688 loss=0.831361  best=-inf wall=1.098h
  ep3 shard 229/688 loss=0.86051  best=-inf wall=1.101h
  ep3 shard 230/688 loss=0.863935  best=-inf wall=1.106h
  ep3 shard 231/688 loss=0.793612  best=-inf wall=1.111h
  ep3 shard 232/688 loss=0.875037  best=-inf wall=1.116h
  ep3 shard 233/688 loss=0.892762  best=-inf wall=1.12h
  ep3 shard 234/688 loss=0.854147  best=-inf wall=1.126h
  ep3 shard 235/688 loss=0.852386  best=-inf wall=1.131h
  ep3 shard 236/688 loss=0.891999  best=-inf wall=1.136h
  ep3 shard 237/688 loss=0.902266  best=-inf wall=1.14h
  ep3 shard 238/688 loss=0.832571  best=-inf wall=1.145h
  ep3 shard 239/688 loss=0.849944  best=-inf wall=1.151h
  ep3 shard 240/688 loss=0.851494  best=-inf wall=1.157h
  ep3 shard 241/688 loss=0.845784  best=-inf wall=1.162h
  ep3 shard 242/688 loss=0.913391  best=-inf wall=1.167h
  ep3 shard 243/688 loss=0.82872  best=-inf wall=1.169h
  ep3 shard 244/688 loss=0.818339  best=-inf wall=1.174h
  ep3 shard 245/688 loss=0.8811  best=-inf wall=1.179h
  ep3 shard 246/688 loss=0.855711  best=-inf wall=1.185h
  ep3 shard 247/688 loss=0.883433  best=-inf wall=1.19h
  ep3 shard 248/688 loss=0.840834  best=-inf wall=1.195h
  ep3 shard 249/688 loss=0.843224  best=-inf wall=1.201h
  ep3 shard 250/688 loss=0.828529  best=-inf wall=1.205h
  ep3 shard 251/688 loss=0.857568  best=-inf wall=1.209h
  ep3 shard 252/688 loss=0.907539  best=-inf wall=1.214h
  ep3 shard 253/688 loss=0.86326  best=-inf wall=1.219h
  ep3 shard 254/688 loss=0.863223  best=-inf wall=1.222h
  ep3 shard 255/688 loss=0.828921  best=-inf wall=1.225h
  ep3 shard 256/688 loss=0.847157  best=-inf wall=1.231h
  ep3 shard 257/688 loss=0.849227  best=-inf wall=1.236h
  ep3 shard 258/688 loss=0.838432  best=-inf wall=1.239h
  saved epoch checkpoint -> experiments/exp028-mlp/baseonly_alldata/checkpoints/ep3.pt
  ep4 shard 259/688 loss=0.82512  best=-inf wall=1.243h
  ep4 shard 260/688 loss=0.868613  best=-inf wall=1.247h
  ep4 shard 261/688 loss=0.845112  best=-inf wall=1.253h
  ep4 shard 262/688 loss=0.86418  best=-inf wall=1.258h
  ep4 shard 263/688 loss=0.896858  best=-inf wall=1.26h
  ep4 shard 264/688 loss=0.834415  best=-inf wall=1.265h
  ep4 shard 265/688 loss=0.816252  best=-inf wall=1.266h
  ep4 shard 266/688 loss=0.889893  best=-inf wall=1.272h
  ep4 shard 267/688 loss=0.803354  best=-inf wall=1.277h
  ep4 shard 268/688 loss=0.810888  best=-inf wall=1.28h
  ep4 shard 269/688 loss=0.88022  best=-inf wall=1.285h
  ep4 shard 270/688 loss=0.857792  best=-inf wall=1.29h
  ep4 shard 271/688 loss=0.859303  best=-inf wall=1.296h
  ep4 shard 272/688 loss=0.858273  best=-inf wall=1.301h
  ep4 shard 273/688 loss=0.827446  best=-inf wall=1.306h
  ep4 shard 274/688 loss=0.86154  best=-inf wall=1.311h
  ep4 shard 275/688 loss=0.873736  best=-inf wall=1.316h
  ep4 shard 276/688 loss=0.880522  best=-inf wall=1.321h
  ep4 shard 277/688 loss=0.848648  best=-inf wall=1.326h
  ep4 shard 278/688 loss=0.824605  best=-inf wall=1.331h
  ep4 shard 279/688 loss=0.867964  best=-inf wall=1.337h
  ep4 shard 280/688 loss=0.841371  best=-inf wall=1.342h
  ep4 shard 281/688 loss=0.825355  best=-inf wall=1.346h
  ep4 shard 282/688 loss=0.876154  best=-inf wall=1.351h
  ep4 shard 283/688 loss=0.880588  best=-inf wall=1.357h
  ep4 shard 284/688 loss=0.833997  best=-inf wall=1.362h
  ep4 shard 285/688 loss=0.831055  best=-inf wall=1.366h
  ep4 shard 286/688 loss=0.811131  best=-inf wall=1.371h
  ep4 shard 287/688 loss=0.844773  best=-inf wall=1.374h
  ep4 shard 288/688 loss=0.838353  best=-inf wall=1.379h
  ep4 shard 289/688 loss=0.855782  best=-inf wall=1.384h
  ep4 shard 290/688 loss=0.868387  best=-inf wall=1.389h
  ep4 shard 291/688 loss=0.899739  best=-inf wall=1.394h
  ep4 shard 292/688 loss=0.837673  best=-inf wall=1.398h
  ep4 shard 293/688 loss=0.835416  best=-inf wall=1.403h
  ep4 shard 294/688 loss=0.85121  best=-inf wall=1.408h
  ep4 shard 295/688 loss=0.866364  best=-inf wall=1.414h
  ep4 shard 296/688 loss=0.878997  best=-inf wall=1.419h
  ep4 shard 297/688 loss=0.896094  best=-inf wall=1.422h
  ep4 shard 298/688 loss=0.889529  best=-inf wall=1.427h
  ep4 shard 299/688 loss=0.875132  best=-inf wall=1.431h
  ep4 shard 300/688 loss=0.851243  best=-inf wall=1.436h
  ep4 shard 301/688 loss=0.870156  best=-inf wall=1.439h
  ep4 shard 302/688 loss=0.850486  best=-inf wall=1.443h
  ep4 shard 303/688 loss=0.826982  best=-inf wall=1.448h
  ep4 shard 304/688 loss=0.856658  best=-inf wall=1.452h
  ep4 shard 305/688 loss=0.853966  best=-inf wall=1.456h
  ep4 shard 306/688 loss=0.897556  best=-inf wall=1.461h
  ep4 shard 307/688 loss=0.914875  best=-inf wall=1.467h
  ep4 shard 308/688 loss=0.868156  best=-inf wall=1.472h
  ep4 shard 309/688 loss=0.847214  best=-inf wall=1.478h
  ep4 shard 310/688 loss=0.867273  best=-inf wall=1.483h
  ep4 shard 311/688 loss=0.81682  best=-inf wall=1.487h
  ep4 shard 312/688 loss=0.918339  best=-inf wall=1.492h
  ep4 shard 313/688 loss=0.866313  best=-inf wall=1.498h
  ep4 shard 314/688 loss=0.891251  best=-inf wall=1.503h
  ep4 shard 315/688 loss=0.842615  best=-inf wall=1.507h
  ep4 shard 316/688 loss=0.853513  best=-inf wall=1.512h
  ep4 shard 317/688 loss=0.877193  best=-inf wall=1.517h
  ep4 shard 318/688 loss=0.859433  best=-inf wall=1.523h
  ep4 shard 319/688 loss=0.841659  best=-inf wall=1.528h
  ep4 shard 320/688 loss=0.853942  best=-inf wall=1.533h
  ep4 shard 321/688 loss=0.865225  best=-inf wall=1.535h
  ep4 shard 322/688 loss=0.894819  best=-inf wall=1.539h
  ep4 shard 323/688 loss=0.855074  best=-inf wall=1.545h
  ep4 shard 324/688 loss=0.846726  best=-inf wall=1.55h
  ep4 shard 325/688 loss=0.873177  best=-inf wall=1.553h
  ep4 shard 326/688 loss=0.882976  best=-inf wall=1.556h
  ep4 shard 327/688 loss=0.858801  best=-inf wall=1.561h
  ep4 shard 328/688 loss=0.86732  best=-inf wall=1.563h
  ep4 shard 329/688 loss=0.84509  best=-inf wall=1.568h
  ep4 shard 330/688 loss=0.832446  best=-inf wall=1.573h
  ep4 shard 331/688 loss=0.875194  best=-inf wall=1.579h
