[arch] mlp hidden [512, 512, 256, 256], 1.018M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep3 shard 127/576 loss=0.849324  best=-inf wall=0.633h
  ep3 shard 128/576 loss=0.904659  best=-inf wall=0.638h
  ep3 shard 129/576 loss=0.838127  best=-inf wall=0.643h
  ep3 shard 130/576 loss=0.881712  best=-inf wall=0.647h
  ep3 shard 131/576 loss=0.856394  best=-inf wall=0.651h
  ep3 shard 132/576 loss=0.833061  best=-inf wall=0.657h
  ep3 shard 133/576 loss=0.869745  best=-inf wall=0.662h
  ep3 shard 134/576 loss=0.800254  best=-inf wall=0.668h
  ep3 shard 135/576 loss=0.883774  best=-inf wall=0.673h
  ep3 shard 136/576 loss=0.870167  best=-inf wall=0.677h
  ep3 shard 137/576 loss=0.870291  best=-inf wall=0.683h
  ep3 shard 138/576 loss=0.823035  best=-inf wall=0.688h
  ep3 shard 139/576 loss=0.886992  best=-inf wall=0.693h
  ep3 shard 140/576 loss=0.81621  best=-inf wall=0.698h
  ep3 shard 141/576 loss=0.879361  best=-inf wall=0.702h
  ep3 shard 142/576 loss=0.889569  best=-inf wall=0.707h
  ep3 shard 143/576 loss=0.813877  best=-inf wall=0.713h
  ep3 shard 144/576 loss=0.861726  best=-inf wall=0.718h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256_baseonly/checkpoints/ep3.pt
  ep4 shard 145/576 loss=0.795774  best=-inf wall=0.723h
  ep4 shard 146/576 loss=0.873129  best=-inf wall=0.728h
  ep4 shard 147/576 loss=0.886618  best=-inf wall=0.733h
  ep4 shard 148/576 loss=0.862035  best=-inf wall=0.739h
  ep4 shard 149/576 loss=0.832759  best=-inf wall=0.744h
  ep4 shard 150/576 loss=0.888386  best=-inf wall=0.749h
  ep4 shard 151/576 loss=0.82574  best=-inf wall=0.755h
  ep4 shard 152/576 loss=0.848551  best=-inf wall=0.759h
  ep4 shard 153/576 loss=0.859245  best=-inf wall=0.764h
  ep4 shard 154/576 loss=0.84303  best=-inf wall=0.769h
  ep4 shard 155/576 loss=0.854409  best=-inf wall=0.774h
  ep4 shard 156/576 loss=0.813445  best=-inf wall=0.779h
  ep4 shard 157/576 loss=0.854445  best=-inf wall=0.783h
  ep4 shard 158/576 loss=0.842327  best=-inf wall=0.787h
  ep4 shard 159/576 loss=0.863285  best=-inf wall=0.792h
  ep4 shard 160/576 loss=0.821068  best=-inf wall=0.797h
  ep4 shard 161/576 loss=0.843834  best=-inf wall=0.803h
  ep4 shard 162/576 loss=0.843514  best=-inf wall=0.807h
  ep4 shard 163/576 loss=0.872284  best=-inf wall=0.812h
  ep4 shard 164/576 loss=0.774836  best=-inf wall=0.818h
  ep4 shard 165/576 loss=0.80286  best=-inf wall=0.822h
  ep4 shard 166/576 loss=0.90985  best=-inf wall=0.827h
  ep4 shard 167/576 loss=0.862684  best=-inf wall=0.832h
  ep4 shard 168/576 loss=0.864456  best=-inf wall=0.836h
  ep4 shard 169/576 loss=0.83181  best=-inf wall=0.842h
  ep4 shard 170/576 loss=0.871002  best=-inf wall=0.847h
  ep4 shard 171/576 loss=0.782005  best=-inf wall=0.852h
  ep4 shard 172/576 loss=0.814278  best=-inf wall=0.857h
  ep4 shard 173/576 loss=0.786622  best=-inf wall=0.862h
  ep4 shard 174/576 loss=0.90028  best=-inf wall=0.867h
  ep4 shard 175/576 loss=0.852739  best=-inf wall=0.873h
  ep4 shard 176/576 loss=0.818553  best=-inf wall=0.878h
  ep4 shard 177/576 loss=0.853297  best=-inf wall=0.882h
  ep4 shard 178/576 loss=0.817062  best=-inf wall=0.886h
  ep4 shard 179/576 loss=0.825239  best=-inf wall=0.891h
  ep4 shard 180/576 loss=0.861964  best=-inf wall=0.897h
  ep4 shard 181/576 loss=0.834769  best=-inf wall=0.902h
  ep4 shard 182/576 loss=0.863548  best=-inf wall=0.907h
  ep4 shard 183/576 loss=0.873104  best=-inf wall=0.912h
  ep4 shard 184/576 loss=0.85987  best=-inf wall=0.917h
  ep4 shard 185/576 loss=0.808786  best=-inf wall=0.921h
  ep4 shard 186/576 loss=0.886472  best=-inf wall=0.927h
  ep4 shard 187/576 loss=0.832121  best=-inf wall=0.932h
  ep4 shard 188/576 loss=0.833891  best=-inf wall=0.936h
  ep4 shard 189/576 loss=0.894995  best=-inf wall=0.941h
  ep4 shard 190/576 loss=0.867718  best=-inf wall=0.946h
  ep4 shard 191/576 loss=0.868766  best=-inf wall=0.95h
  ep4 shard 192/576 loss=0.863448  best=-inf wall=0.954h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256_baseonly/checkpoints/ep4.pt
  ep5 shard 193/576 loss=0.879088  best=-inf wall=0.959h
  ep5 shard 194/576 loss=0.82589  best=-inf wall=0.964h
  ep5 shard 195/576 loss=0.854517  best=-inf wall=0.969h
  ep5 shard 196/576 loss=0.885574  best=-inf wall=0.973h
  ep5 shard 197/576 loss=0.865572  best=-inf wall=0.977h
  ep5 shard 198/576 loss=0.861907  best=-inf wall=0.983h
  ep5 shard 199/576 loss=0.854013  best=-inf wall=0.988h
  ep5 shard 200/576 loss=0.869161  best=-inf wall=0.993h
  ep5 shard 201/576 loss=0.877777  best=-inf wall=0.998h
  ep5 shard 202/576 loss=0.89114  best=-inf wall=1.003h
  ep5 shard 203/576 loss=0.871108  best=-inf wall=1.008h
  ep5 shard 204/576 loss=0.870987  best=-inf wall=1.014h
  ep5 shard 205/576 loss=0.830741  best=-inf wall=1.019h
  ep5 shard 206/576 loss=0.849994  best=-inf wall=1.024h
  ep5 shard 207/576 loss=0.887226  best=-inf wall=1.029h
  ep5 shard 208/576 loss=0.82068  best=-inf wall=1.034h
  ep5 shard 209/576 loss=0.846338  best=-inf wall=1.04h
  ep5 shard 210/576 loss=0.822239  best=-inf wall=1.044h
  ep5 shard 211/576 loss=0.860016  best=-inf wall=1.049h
  ep5 shard 212/576 loss=0.837185  best=-inf wall=1.054h
  ep5 shard 213/576 loss=0.876784  best=-inf wall=1.058h
  ep5 shard 214/576 loss=0.840288  best=-inf wall=1.063h
  ep5 shard 215/576 loss=0.85148  best=-inf wall=1.068h
  ep5 shard 216/576 loss=0.806765  best=-inf wall=1.073h
  ep5 shard 217/576 loss=0.830106  best=-inf wall=1.077h
  ep5 shard 218/576 loss=0.911498  best=-inf wall=1.081h
  ep5 shard 219/576 loss=0.789484  best=-inf wall=1.087h
  ep5 shard 220/576 loss=0.806192  best=-inf wall=1.091h
  ep5 shard 221/576 loss=0.796572  best=-inf wall=1.096h
  ep5 shard 222/576 loss=0.87376  best=-inf wall=1.101h
  ep5 shard 223/576 loss=0.843082  best=-inf wall=1.106h
  ep5 shard 224/576 loss=0.883449  best=-inf wall=1.111h
  ep5 shard 225/576 loss=0.858438  best=-inf wall=1.116h
  ep5 shard 226/576 loss=0.882725  best=-inf wall=1.121h
  ep5 shard 227/576 loss=0.838291  best=-inf wall=1.126h
  ep5 shard 228/576 loss=0.84482  best=-inf wall=1.131h
  ep5 shard 229/576 loss=0.886634  best=-inf wall=1.136h
  ep5 shard 230/576 loss=0.845529  best=-inf wall=1.142h
  ep5 shard 231/576 loss=0.828163  best=-inf wall=1.147h
  ep5 shard 232/576 loss=0.858853  best=-inf wall=1.152h
  ep5 shard 233/576 loss=0.860399  best=-inf wall=1.157h
  ep5 shard 234/576 loss=0.817675  best=-inf wall=1.163h
  ep5 shard 235/576 loss=0.850231  best=-inf wall=1.168h
  ep5 shard 236/576 loss=0.861982  best=-inf wall=1.172h
  ep5 shard 237/576 loss=0.886003  best=-inf wall=1.177h
  ep5 shard 238/576 loss=0.84179  best=-inf wall=1.182h
  ep5 shard 239/576 loss=0.82901  best=-inf wall=1.186h
  ep5 shard 240/576 loss=0.852221  best=-inf wall=1.191h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256_baseonly/checkpoints/ep5.pt
  ep6 shard 241/576 loss=0.85717  best=-inf wall=1.195h
  ep6 shard 242/576 loss=0.812191  best=-inf wall=1.2h
  ep6 shard 243/576 loss=0.903867  best=-inf wall=1.204h
  ep6 shard 244/576 loss=0.803676  best=-inf wall=1.208h
  ep6 shard 245/576 loss=0.893912  best=-inf wall=1.214h
  ep6 shard 246/576 loss=0.826608  best=-inf wall=1.219h
  ep6 shard 247/576 loss=0.901597  best=-inf wall=1.223h
  ep6 shard 248/576 loss=0.814169  best=-inf wall=1.228h
  ep6 shard 249/576 loss=0.85506  best=-inf wall=1.234h
  ep6 shard 250/576 loss=0.897518  best=-inf wall=1.239h
  ep6 shard 251/576 loss=0.789224  best=-inf wall=1.244h
  ep6 shard 252/576 loss=0.87986  best=-inf wall=1.249h
  ep6 shard 253/576 loss=0.867478  best=-inf wall=1.254h
  ep6 shard 254/576 loss=0.850918  best=-inf wall=1.258h
  ep6 shard 255/576 loss=0.858806  best=-inf wall=1.264h
  ep6 shard 256/576 loss=0.832923  best=-inf wall=1.268h
  ep6 shard 257/576 loss=0.82505  best=-inf wall=1.273h
  ep6 shard 258/576 loss=0.830949  best=-inf wall=1.279h
  ep6 shard 259/576 loss=0.885553  best=-inf wall=1.284h
  ep6 shard 260/576 loss=0.83486  best=-inf wall=1.289h
  ep6 shard 261/576 loss=0.828985  best=-inf wall=1.293h
  ep6 shard 262/576 loss=0.829691  best=-inf wall=1.298h
  ep6 shard 263/576 loss=0.881668  best=-inf wall=1.304h
  ep6 shard 264/576 loss=0.807897  best=-inf wall=1.309h
  ep6 shard 265/576 loss=0.897024  best=-inf wall=1.314h
  ep6 shard 266/576 loss=0.8345  best=-inf wall=1.319h
  ep6 shard 267/576 loss=0.850284  best=-inf wall=1.325h
  ep6 shard 268/576 loss=0.864975  best=-inf wall=1.33h
  ep6 shard 269/576 loss=0.804054  best=-inf wall=1.335h
  ep6 shard 270/576 loss=0.845147  best=-inf wall=1.34h
  ep6 shard 271/576 loss=0.850979  best=-inf wall=1.346h
  ep6 shard 272/576 loss=0.864103  best=-inf wall=1.35h
  ep6 shard 273/576 loss=0.90761  best=-inf wall=1.354h
  ep6 shard 274/576 loss=0.850559  best=-inf wall=1.359h
  ep6 shard 275/576 loss=0.874055  best=-inf wall=1.364h
  ep6 shard 276/576 loss=0.855419  best=-inf wall=1.37h
  ep6 shard 277/576 loss=0.863478  best=-inf wall=1.375h
  ep6 shard 278/576 loss=0.848641  best=-inf wall=1.38h
  ep6 shard 279/576 loss=0.870917  best=-inf wall=1.384h
  ep6 shard 280/576 loss=0.83107  best=-inf wall=1.388h
  ep6 shard 281/576 loss=0.848716  best=-inf wall=1.393h
  ep6 shard 282/576 loss=0.864724  best=-inf wall=1.399h
  ep6 shard 283/576 loss=0.860334  best=-inf wall=1.404h
  ep6 shard 284/576 loss=0.898398  best=-inf wall=1.409h
  ep6 shard 285/576 loss=0.858191  best=-inf wall=1.414h
  ep6 shard 286/576 loss=0.854471  best=-inf wall=1.419h
  ep6 shard 287/576 loss=0.827693  best=-inf wall=1.423h
  ep6 shard 288/576 loss=0.855828  best=-inf wall=1.428h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256_baseonly/checkpoints/ep6.pt
  ep7 shard 289/576 loss=0.824091  best=-inf wall=1.432h
  ep7 shard 290/576 loss=0.88659  best=-inf wall=1.437h
  ep7 shard 291/576 loss=0.87087  best=-inf wall=1.442h
  ep7 shard 292/576 loss=0.821992  best=-inf wall=1.447h
  ep7 shard 293/576 loss=0.889581  best=-inf wall=1.452h
  ep7 shard 294/576 loss=0.847505  best=-inf wall=1.457h
  ep7 shard 295/576 loss=0.900157  best=-inf wall=1.462h
  ep7 shard 296/576 loss=0.909476  best=-inf wall=1.468h
  ep7 shard 297/576 loss=0.817388  best=-inf wall=1.473h
  ep7 shard 298/576 loss=0.81101  best=-inf wall=1.477h
  ep7 shard 299/576 loss=0.884393  best=-inf wall=1.482h
  ep7 shard 300/576 loss=0.88789  best=-inf wall=1.486h
  ep7 shard 301/576 loss=0.839376  best=-inf wall=1.491h
  ep7 shard 302/576 loss=0.773069  best=-inf wall=1.496h
  ep7 shard 303/576 loss=0.840603  best=-inf wall=1.5h
  ep7 shard 304/576 loss=0.854824  best=-inf wall=1.506h
  ep7 shard 305/576 loss=0.808191  best=-inf wall=1.511h
  ep7 shard 306/576 loss=0.845966  best=-inf wall=1.516h
  ep7 shard 307/576 loss=0.824323  best=-inf wall=1.522h
  ep7 shard 308/576 loss=0.830919  best=-inf wall=1.527h
  ep7 shard 309/576 loss=0.850925  best=-inf wall=1.532h
  ep7 shard 310/576 loss=0.905524  best=-inf wall=1.537h
  ep7 shard 311/576 loss=0.858866  best=-inf wall=1.543h
  ep7 shard 312/576 loss=0.807518  best=-inf wall=1.548h
  ep7 shard 313/576 loss=0.853781  best=-inf wall=1.553h
  ep7 shard 314/576 loss=0.851317  best=-inf wall=1.557h
  ep7 shard 315/576 loss=0.908629  best=-inf wall=1.563h
  ep7 shard 316/576 loss=0.839367  best=-inf wall=1.568h
  ep7 shard 317/576 loss=0.8124  best=-inf wall=1.573h
  ep7 shard 318/576 loss=0.83834  best=-inf wall=1.577h
  ep7 shard 319/576 loss=0.878579  best=-inf wall=1.581h
  ep7 shard 320/576 loss=0.861268  best=-inf wall=1.587h
  ep7 shard 321/576 loss=0.852735  best=-inf wall=1.591h
  ep7 shard 322/576 loss=0.861763  best=-inf wall=1.596h
  ep7 shard 323/576 loss=0.818144  best=-inf wall=1.602h
  ep7 shard 324/576 loss=0.878381  best=-inf wall=1.607h
  ep7 shard 325/576 loss=0.832097  best=-inf wall=1.612h
  ep7 shard 326/576 loss=0.87231  best=-inf wall=1.617h
  ep7 shard 327/576 loss=0.871849  best=-inf wall=1.622h
  ep7 shard 328/576 loss=0.909303  best=-inf wall=1.626h
  ep7 shard 329/576 loss=0.855468  best=-inf wall=1.63h
  ep7 shard 330/576 loss=0.855552  best=-inf wall=1.636h
  ep7 shard 331/576 loss=0.842879  best=-inf wall=1.641h
  ep7 shard 332/576 loss=0.899072  best=-inf wall=1.645h
  ep7 shard 333/576 loss=0.857079  best=-inf wall=1.649h
  ep7 shard 334/576 loss=0.832631  best=-inf wall=1.654h
  ep7 shard 335/576 loss=0.857083  best=-inf wall=1.659h
  ep7 shard 336/576 loss=0.907216  best=-inf wall=1.664h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_512_512_256_256_baseonly/checkpoints/ep7.pt
  ep8 shard 337/576 loss=0.859334  best=-inf wall=1.669h
  ep8 shard 338/576 loss=0.853649  best=-inf wall=1.673h
  ep8 shard 339/576 loss=0.834658  best=-inf wall=1.679h
  ep8 shard 340/576 loss=0.851505  best=-inf wall=1.684h
  ep8 shard 341/576 loss=0.855845  best=-inf wall=1.689h
  ep8 shard 342/576 loss=0.844728  best=-inf wall=1.693h
  ep8 shard 343/576 loss=0.868594  best=-inf wall=1.698h
  ep8 shard 344/576 loss=0.875664  best=-inf wall=1.703h
  ep8 shard 345/576 loss=0.810869  best=-inf wall=1.708h
  ep8 shard 346/576 loss=0.82347  best=-inf wall=1.712h
  ep8 shard 347/576 loss=0.877959  best=-inf wall=1.717h
  ep8 shard 348/576 loss=0.874225  best=-inf wall=1.722h
  ep8 shard 349/576 loss=0.90971  best=-inf wall=1.728h
  ep8 shard 350/576 loss=0.856062  best=-inf wall=1.732h
  ep8 shard 351/576 loss=0.857578  best=-inf wall=1.738h
  ep8 shard 352/576 loss=0.873096  best=-inf wall=1.743h
  ep8 shard 353/576 loss=0.855572  best=-inf wall=1.747h
  ep8 shard 354/576 loss=0.84373  best=-inf wall=1.753h
  ep8 shard 355/576 loss=0.830929  best=-inf wall=1.758h
  ep8 shard 356/576 loss=0.817073  best=-inf wall=1.763h
  ep8 shard 357/576 loss=0.870979  best=-inf wall=1.768h
  ep8 shard 358/576 loss=0.726166  best=-inf wall=1.772h
  ep8 shard 359/576 loss=0.869849  best=-inf wall=1.777h
  ep8 shard 360/576 loss=0.84688  best=-inf wall=1.782h
  ep8 shard 361/576 loss=0.852774  best=-inf wall=1.788h
  ep8 shard 362/576 loss=0.861706  best=-inf wall=1.792h
  ep8 shard 363/576 loss=0.878882  best=-inf wall=1.797h
  ep8 shard 364/576 loss=0.901466  best=-inf wall=1.802h
  ep8 shard 365/576 loss=0.854078  best=-inf wall=1.807h
  ep8 shard 366/576 loss=0.90786  best=-inf wall=1.811h
  ep8 shard 367/576 loss=0.861172  best=-inf wall=1.816h
  ep8 shard 368/576 loss=0.826791  best=-inf wall=1.821h
  ep8 shard 369/576 loss=0.865554  best=-inf wall=1.826h
  ep8 shard 370/576 loss=0.80439  best=-inf wall=1.831h
  ep8 shard 371/576 loss=0.877048  best=-inf wall=1.836h
  ep8 shard 372/576 loss=0.836692  best=-inf wall=1.841h
  ep8 shard 373/576 loss=0.873376  best=-inf wall=1.847h
  ep8 shard 374/576 loss=0.836705  best=-inf wall=1.852h
  ep8 shard 375/576 loss=0.831981  best=-inf wall=1.856h
  ep8 shard 376/576 loss=0.893526  best=-inf wall=1.86h
  ep8 shard 377/576 loss=0.890054  best=-inf wall=1.864h
  ep8 shard 378/576 loss=0.849416  best=-inf wall=1.869h
