[arch] mlp hidden [512, 512, 256, 256] in=201, 0.912M params (0.565M deployable)
exp011 outcomes6 [cpu]: 86 shards x 8 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 150/688 loss=0.90511  best=-inf wall=0.665h
  ep2 shard 151/688 loss=0.858419  best=-inf wall=0.67h
  ep2 shard 152/688 loss=0.868388  best=-inf wall=0.675h
  ep2 shard 153/688 loss=0.852907  best=-inf wall=0.68h
  ep2 shard 154/688 loss=0.852944  best=-inf wall=0.685h
  ep2 shard 155/688 loss=0.873369  best=-inf wall=0.688h
  ep2 shard 156/688 loss=0.864617  best=-inf wall=0.693h
  ep2 shard 157/688 loss=0.867508  best=-inf wall=0.698h
  ep2 shard 158/688 loss=0.869266  best=-inf wall=0.703h
  ep2 shard 159/688 loss=0.893551  best=-inf wall=0.708h
  ep2 shard 160/688 loss=0.809098  best=-inf wall=0.712h
  ep2 shard 161/688 loss=0.836921  best=-inf wall=0.717h
  ep2 shard 162/688 loss=0.871213  best=-inf wall=0.722h
  ep2 shard 163/688 loss=0.859626  best=-inf wall=0.725h
  ep2 shard 164/688 loss=0.835501  best=-inf wall=0.73h
  ep2 shard 165/688 loss=0.806086  best=-inf wall=0.735h
  ep2 shard 166/688 loss=0.828859  best=-inf wall=0.74h
  ep2 shard 167/688 loss=0.876399  best=-inf wall=0.745h
  ep2 shard 168/688 loss=0.881291  best=-inf wall=0.75h
  ep2 shard 169/688 loss=0.861147  best=-inf wall=0.755h
  ep2 shard 170/688 loss=0.893866  best=-inf wall=0.759h
  ep2 shard 171/688 loss=0.863225  best=-inf wall=0.762h
  ep2 shard 172/688 loss=0.858695  best=-inf wall=0.767h
  saved epoch checkpoint -> experiments/exp028-mlp/debroadcast_base/checkpoints/ep2.pt
  ep3 shard 173/688 loss=0.889314  best=-inf wall=0.772h
  ep3 shard 174/688 loss=0.834266  best=-inf wall=0.776h
  ep3 shard 175/688 loss=0.870478  best=-inf wall=0.781h
  ep3 shard 176/688 loss=0.850442  best=-inf wall=0.786h
  ep3 shard 177/688 loss=0.851365  best=-inf wall=0.791h
  ep3 shard 178/688 loss=0.853731  best=-inf wall=0.792h
  ep3 shard 179/688 loss=0.860271  best=-inf wall=0.797h
  ep3 shard 180/688 loss=0.842258  best=-inf wall=0.802h
  ep3 shard 181/688 loss=0.884459  best=-inf wall=0.807h
  ep3 shard 182/688 loss=0.845493  best=-inf wall=0.812h
  ep3 shard 183/688 loss=0.802514  best=-inf wall=0.817h
  ep3 shard 184/688 loss=0.84238  best=-inf wall=0.821h
  ep3 shard 185/688 loss=0.855779  best=-inf wall=0.826h
