[arch] mlp hidden [256, 256], 0.575M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep6 shard 241/576 loss=0.899824  best=-inf wall=0.719h
  ep6 shard 242/576 loss=0.875539  best=-inf wall=0.722h
  ep6 shard 243/576 loss=0.811965  best=-inf wall=0.725h
  ep6 shard 244/576 loss=0.887718  best=-inf wall=0.727h
  ep6 shard 245/576 loss=0.806117  best=-inf wall=0.73h
  ep6 shard 246/576 loss=0.815102  best=-inf wall=0.733h
  ep6 shard 247/576 loss=0.847548  best=-inf wall=0.736h
  ep6 shard 248/576 loss=0.876237  best=-inf wall=0.739h
  ep6 shard 249/576 loss=0.861545  best=-inf wall=0.742h
  ep6 shard 250/576 loss=0.823802  best=-inf wall=0.746h
  ep6 shard 251/576 loss=0.837217  best=-inf wall=0.749h
  ep6 shard 252/576 loss=0.83428  best=-inf wall=0.752h
  ep6 shard 253/576 loss=0.873285  best=-inf wall=0.756h
  ep6 shard 254/576 loss=0.868485  best=-inf wall=0.758h
  ep6 shard 255/576 loss=0.850138  best=-inf wall=0.761h
  ep6 shard 256/576 loss=0.864497  best=-inf wall=0.763h
  ep6 shard 257/576 loss=0.819193  best=-inf wall=0.767h
  ep6 shard 258/576 loss=0.843227  best=-inf wall=0.77h
  ep6 shard 259/576 loss=0.934907  best=-inf wall=0.773h
  ep6 shard 260/576 loss=0.817516  best=-inf wall=0.777h
  ep6 shard 261/576 loss=0.850231  best=-inf wall=0.779h
  ep6 shard 262/576 loss=0.903636  best=-inf wall=0.782h
  ep6 shard 263/576 loss=0.815877  best=-inf wall=0.785h
  ep6 shard 264/576 loss=0.835902  best=-inf wall=0.789h
  ep6 shard 265/576 loss=0.825317  best=-inf wall=0.792h
  ep6 shard 266/576 loss=0.809337  best=-inf wall=0.795h
  ep6 shard 267/576 loss=0.853573  best=-inf wall=0.798h
  ep6 shard 268/576 loss=0.832983  best=-inf wall=0.802h
  ep6 shard 269/576 loss=0.852546  best=-inf wall=0.805h
  ep6 shard 270/576 loss=0.867791  best=-inf wall=0.808h
  ep6 shard 271/576 loss=0.853247  best=-inf wall=0.812h
  ep6 shard 272/576 loss=0.854435  best=-inf wall=0.814h
  ep6 shard 273/576 loss=0.847424  best=-inf wall=0.816h
  ep6 shard 274/576 loss=0.813087  best=-inf wall=0.819h
  ep6 shard 275/576 loss=0.789696  best=-inf wall=0.823h
  ep6 shard 276/576 loss=0.891144  best=-inf wall=0.826h
  ep6 shard 277/576 loss=0.838421  best=-inf wall=0.829h
  ep6 shard 278/576 loss=0.87004  best=-inf wall=0.833h
  ep6 shard 279/576 loss=0.861907  best=-inf wall=0.835h
  ep6 shard 280/576 loss=0.825834  best=-inf wall=0.837h
  ep6 shard 281/576 loss=0.875198  best=-inf wall=0.84h
  ep6 shard 282/576 loss=0.853598  best=-inf wall=0.844h
  ep6 shard 283/576 loss=0.832885  best=-inf wall=0.847h
  ep6 shard 284/576 loss=0.865887  best=-inf wall=0.85h
  ep6 shard 285/576 loss=0.905618  best=-inf wall=0.853h
  ep6 shard 286/576 loss=0.851863  best=-inf wall=0.856h
