[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep2 shard 130/1720 loss=0.0001  best=-inf wall=0.581h
  ep2 shard 131/1720 loss=7.8e-05  best=-inf wall=0.586h
  ep2 shard 132/1720 loss=8.4e-05  best=-inf wall=0.591h
  ep2 shard 133/1720 loss=9.6e-05  best=-inf wall=0.596h
  ep2 shard 134/1720 loss=8.4e-05  best=-inf wall=0.601h
  ep2 shard 135/1720 loss=9e-05  best=-inf wall=0.606h
  ep2 shard 136/1720 loss=9.3e-05  best=-inf wall=0.611h
  ep2 shard 137/1720 loss=0.000113  best=-inf wall=0.614h
  ep2 shard 138/1720 loss=7.6e-05  best=-inf wall=0.618h
  ep2 shard 139/1720 loss=7.8e-05  best=-inf wall=0.623h
  ep2 shard 140/1720 loss=8.5e-05  best=-inf wall=0.628h
  ep2 shard 141/1720 loss=7.2e-05  best=-inf wall=0.633h
  ep2 shard 142/1720 loss=8.5e-05  best=-inf wall=0.638h
  ep2 shard 143/1720 loss=8.4e-05  best=-inf wall=0.641h
  ep2 shard 144/1720 loss=6.2e-05  best=-inf wall=0.646h
  ep2 shard 145/1720 loss=0.0001  best=-inf wall=0.651h
  ep2 shard 146/1720 loss=0.000108  best=-inf wall=0.653h
  ep2 shard 147/1720 loss=6.6e-05  best=-inf wall=0.658h
  ep2 shard 148/1720 loss=0.000116  best=-inf wall=0.664h
  ep2 shard 149/1720 loss=8e-05  best=-inf wall=0.668h
  ep2 shard 150/1720 loss=7.8e-05  best=-inf wall=0.672h
  ep2 shard 151/1720 loss=8e-05  best=-inf wall=0.677h
  ep2 shard 152/1720 loss=8.7e-05  best=-inf wall=0.682h
  ep2 shard 153/1720 loss=0.000109  best=-inf wall=0.686h
  ep2 shard 154/1720 loss=8.5e-05  best=-inf wall=0.691h
  ep2 shard 155/1720 loss=7.6e-05  best=-inf wall=0.694h
  ep2 shard 156/1720 loss=6.8e-05  best=-inf wall=0.698h
  ep2 shard 157/1720 loss=7.9e-05  best=-inf wall=0.703h
  ep2 shard 158/1720 loss=9.2e-05  best=-inf wall=0.708h
  ep2 shard 159/1720 loss=0.000115  best=-inf wall=0.713h
  ep2 shard 160/1720 loss=8.5e-05  best=-inf wall=0.718h
  ep2 shard 161/1720 loss=7.1e-05  best=-inf wall=0.722h
  ep2 shard 162/1720 loss=7.4e-05  best=-inf wall=0.726h
  ep2 shard 163/1720 loss=9.1e-05  best=-inf wall=0.729h
  ep2 shard 164/1720 loss=9.4e-05  best=-inf wall=0.734h
  ep2 shard 165/1720 loss=8.8e-05  best=-inf wall=0.739h
  ep2 shard 166/1720 loss=7.3e-05  best=-inf wall=0.744h
  ep2 shard 167/1720 loss=6.5e-05  best=-inf wall=0.749h
  ep2 shard 168/1720 loss=6e-05  best=-inf wall=0.754h
  ep2 shard 169/1720 loss=7.1e-05  best=-inf wall=0.759h
  ep2 shard 170/1720 loss=9.7e-05  best=-inf wall=0.764h
  ep2 shard 171/1720 loss=5e-05  best=-inf wall=0.769h
  ep2 shard 172/1720 loss=8.7e-05  best=-inf wall=0.774h
  saved epoch checkpoint -> experiments/exp028-mlp/combined20/checkpoints/ep2.pt
  ep3 shard 173/1720 loss=7.8e-05  best=-inf wall=0.778h
  ep3 shard 174/1720 loss=6e-05  best=-inf wall=0.783h
  ep3 shard 175/1720 loss=8e-05  best=-inf wall=0.788h
  ep3 shard 176/1720 loss=6.8e-05  best=-inf wall=0.793h
  ep3 shard 177/1720 loss=9.1e-05  best=-inf wall=0.797h
  ep3 shard 178/1720 loss=7.5e-05  best=-inf wall=0.799h
  ep3 shard 179/1720 loss=6.6e-05  best=-inf wall=0.804h
  ep3 shard 180/1720 loss=6.1e-05  best=-inf wall=0.809h
  ep3 shard 181/1720 loss=8.8e-05  best=-inf wall=0.814h
  ep3 shard 182/1720 loss=5.1e-05  best=-inf wall=0.818h
