[arch] mlp 1x256 hidden, 0.509M parameters
exp011 outcomes6 [cpu]: 48 shards x 12 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
  ep4 shard 174/576 loss=0.864931  best=-inf wall=0.466h
  ep4 shard 175/576 loss=0.86453  best=-inf wall=0.469h
  ep4 shard 176/576 loss=0.838857  best=-inf wall=0.472h
  ep4 shard 177/576 loss=0.868129  best=-inf wall=0.473h
  ep4 shard 178/576 loss=0.885657  best=-inf wall=0.475h
  ep4 shard 179/576 loss=0.847608  best=-inf wall=0.478h
  ep4 shard 180/576 loss=0.820164  best=-inf wall=0.481h
  ep4 shard 181/576 loss=0.830997  best=-inf wall=0.484h
  ep4 shard 182/576 loss=0.886135  best=-inf wall=0.487h
  ep4 shard 183/576 loss=0.851601  best=-inf wall=0.489h
  ep4 shard 184/576 loss=0.874145  best=-inf wall=0.492h
  ep4 shard 185/576 loss=0.852806  best=-inf wall=0.495h
  ep4 shard 186/576 loss=0.821597  best=-inf wall=0.498h
  ep4 shard 187/576 loss=0.894802  best=-inf wall=0.501h
  ep4 shard 188/576 loss=0.864902  best=-inf wall=0.502h
  ep4 shard 189/576 loss=0.853083  best=-inf wall=0.505h
  ep4 shard 190/576 loss=0.904117  best=-inf wall=0.508h
  ep4 shard 191/576 loss=0.839514  best=-inf wall=0.511h
  ep4 shard 192/576 loss=0.846952  best=-inf wall=0.513h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_h256_long/checkpoints/ep4.pt
  ep5 shard 193/576 loss=0.895713  best=-inf wall=0.515h
  ep5 shard 194/576 loss=0.846857  best=-inf wall=0.517h
  ep5 shard 195/576 loss=0.856883  best=-inf wall=0.52h
  ep5 shard 196/576 loss=0.837747  best=-inf wall=0.522h
  ep5 shard 197/576 loss=0.860983  best=-inf wall=0.525h
  ep5 shard 198/576 loss=0.851973  best=-inf wall=0.528h
  ep5 shard 199/576 loss=0.858146  best=-inf wall=0.531h
  ep5 shard 200/576 loss=0.853403  best=-inf wall=0.534h
  ep5 shard 201/576 loss=0.855719  best=-inf wall=0.536h
  ep5 shard 202/576 loss=0.843359  best=-inf wall=0.539h
  ep5 shard 203/576 loss=0.864129  best=-inf wall=0.542h
  ep5 shard 204/576 loss=0.834363  best=-inf wall=0.545h
  ep5 shard 205/576 loss=0.872416  best=-inf wall=0.548h
  ep5 shard 206/576 loss=0.852815  best=-inf wall=0.55h
  ep5 shard 207/576 loss=0.851268  best=-inf wall=0.553h
  ep5 shard 208/576 loss=0.894693  best=-inf wall=0.556h
  ep5 shard 209/576 loss=0.819952  best=-inf wall=0.559h
  ep5 shard 210/576 loss=0.897891  best=-inf wall=0.56h
  ep5 shard 211/576 loss=0.856372  best=-inf wall=0.563h
  ep5 shard 212/576 loss=0.857814  best=-inf wall=0.566h
  ep5 shard 213/576 loss=0.847462  best=-inf wall=0.568h
  ep5 shard 214/576 loss=0.876922  best=-inf wall=0.57h
  ep5 shard 215/576 loss=0.849643  best=-inf wall=0.573h
  ep5 shard 216/576 loss=0.827582  best=-inf wall=0.576h
  ep5 shard 217/576 loss=0.876139  best=-inf wall=0.577h
  ep5 shard 218/576 loss=0.805346  best=-inf wall=0.579h
  ep5 shard 219/576 loss=0.791935  best=-inf wall=0.582h
  ep5 shard 220/576 loss=0.811382  best=-inf wall=0.584h
  ep5 shard 221/576 loss=0.849075  best=-inf wall=0.587h
  ep5 shard 222/576 loss=0.893442  best=-inf wall=0.589h
  ep5 shard 223/576 loss=0.826697  best=-inf wall=0.592h
  ep5 shard 224/576 loss=0.85238  best=-inf wall=0.594h
  ep5 shard 225/576 loss=0.877279  best=-inf wall=0.597h
  ep5 shard 226/576 loss=0.880209  best=-inf wall=0.6h
  ep5 shard 227/576 loss=0.814212  best=-inf wall=0.602h
  ep5 shard 228/576 loss=0.834  best=-inf wall=0.605h
  ep5 shard 229/576 loss=0.814805  best=-inf wall=0.608h
  ep5 shard 230/576 loss=0.874866  best=-inf wall=0.611h
  ep5 shard 231/576 loss=0.865376  best=-inf wall=0.614h
  ep5 shard 232/576 loss=0.866113  best=-inf wall=0.616h
  ep5 shard 233/576 loss=0.897998  best=-inf wall=0.619h
  ep5 shard 234/576 loss=0.840059  best=-inf wall=0.622h
  ep5 shard 235/576 loss=0.862183  best=-inf wall=0.625h
  ep5 shard 236/576 loss=0.88122  best=-inf wall=0.627h
  ep5 shard 237/576 loss=0.894956  best=-inf wall=0.63h
  ep5 shard 238/576 loss=0.809808  best=-inf wall=0.632h
  ep5 shard 239/576 loss=0.879472  best=-inf wall=0.635h
  ep5 shard 240/576 loss=0.827518  best=-inf wall=0.637h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_h256_long/checkpoints/ep5.pt
  ep6 shard 241/576 loss=0.888663  best=-inf wall=0.639h
  ep6 shard 242/576 loss=0.909873  best=-inf wall=0.642h
  ep6 shard 243/576 loss=0.848001  best=-inf wall=0.643h
  ep6 shard 244/576 loss=0.841035  best=-inf wall=0.645h
  ep6 shard 245/576 loss=0.850317  best=-inf wall=0.648h
  ep6 shard 246/576 loss=0.847218  best=-inf wall=0.651h
  ep6 shard 247/576 loss=0.873675  best=-inf wall=0.653h
  ep6 shard 248/576 loss=0.870879  best=-inf wall=0.656h
  ep6 shard 249/576 loss=0.903355  best=-inf wall=0.658h
  ep6 shard 250/576 loss=0.866998  best=-inf wall=0.661h
  ep6 shard 251/576 loss=0.873994  best=-inf wall=0.664h
  ep6 shard 252/576 loss=0.828543  best=-inf wall=0.667h
  ep6 shard 253/576 loss=0.826746  best=-inf wall=0.67h
  ep6 shard 254/576 loss=0.896141  best=-inf wall=0.672h
  ep6 shard 255/576 loss=0.883475  best=-inf wall=0.675h
  ep6 shard 256/576 loss=0.861357  best=-inf wall=0.676h
  ep6 shard 257/576 loss=0.831672  best=-inf wall=0.679h
  ep6 shard 258/576 loss=0.873535  best=-inf wall=0.682h
  ep6 shard 259/576 loss=0.880341  best=-inf wall=0.685h
  ep6 shard 260/576 loss=0.837992  best=-inf wall=0.688h
  ep6 shard 261/576 loss=0.846395  best=-inf wall=0.691h
  ep6 shard 262/576 loss=0.842859  best=-inf wall=0.694h
  ep6 shard 263/576 loss=0.874166  best=-inf wall=0.696h
  ep6 shard 264/576 loss=0.911129  best=-inf wall=0.699h
  ep6 shard 265/576 loss=0.856681  best=-inf wall=0.702h
  ep6 shard 266/576 loss=0.872073  best=-inf wall=0.705h
  ep6 shard 267/576 loss=0.825106  best=-inf wall=0.708h
  ep6 shard 268/576 loss=0.829527  best=-inf wall=0.71h
  ep6 shard 269/576 loss=0.840044  best=-inf wall=0.713h
  ep6 shard 270/576 loss=0.87484  best=-inf wall=0.716h
  ep6 shard 271/576 loss=0.857933  best=-inf wall=0.719h
  ep6 shard 272/576 loss=0.863154  best=-inf wall=0.721h
  ep6 shard 273/576 loss=0.887178  best=-inf wall=0.723h
  ep6 shard 274/576 loss=0.84236  best=-inf wall=0.725h
  ep6 shard 275/576 loss=0.831676  best=-inf wall=0.728h
  ep6 shard 276/576 loss=0.857763  best=-inf wall=0.731h
  ep6 shard 277/576 loss=0.816256  best=-inf wall=0.734h
  ep6 shard 278/576 loss=0.860978  best=-inf wall=0.737h
  ep6 shard 279/576 loss=0.867723  best=-inf wall=0.739h
  ep6 shard 280/576 loss=0.845561  best=-inf wall=0.742h
  ep6 shard 281/576 loss=0.806288  best=-inf wall=0.745h
  ep6 shard 282/576 loss=0.843395  best=-inf wall=0.747h
  ep6 shard 283/576 loss=0.890395  best=-inf wall=0.75h
  ep6 shard 284/576 loss=0.882436  best=-inf wall=0.753h
  ep6 shard 285/576 loss=0.875488  best=-inf wall=0.756h
  ep6 shard 286/576 loss=0.826989  best=-inf wall=0.759h
  ep6 shard 287/576 loss=0.844289  best=-inf wall=0.76h
  ep6 shard 288/576 loss=0.84332  best=-inf wall=0.762h
  saved epoch checkpoint -> experiments/exp028-mlp/mlp_h256_long/checkpoints/ep6.pt
  ep7 shard 289/576 loss=0.846016  best=-inf wall=0.764h
  ep7 shard 290/576 loss=0.84971  best=-inf wall=0.767h
  ep7 shard 291/576 loss=0.843116  best=-inf wall=0.769h
  ep7 shard 292/576 loss=0.901652  best=-inf wall=0.772h
  ep7 shard 293/576 loss=0.901853  best=-inf wall=0.775h
  ep7 shard 294/576 loss=0.822876  best=-inf wall=0.778h
  ep7 shard 295/576 loss=0.871044  best=-inf wall=0.78h
  ep7 shard 296/576 loss=0.854117  best=-inf wall=0.783h
  ep7 shard 297/576 loss=0.872676  best=-inf wall=0.786h
  ep7 shard 298/576 loss=0.862294  best=-inf wall=0.788h
  ep7 shard 299/576 loss=0.854088  best=-inf wall=0.791h
  ep7 shard 300/576 loss=0.883334  best=-inf wall=0.793h
  ep7 shard 301/576 loss=0.826544  best=-inf wall=0.796h
  ep7 shard 302/576 loss=0.841392  best=-inf wall=0.799h
  ep7 shard 303/576 loss=0.863165  best=-inf wall=0.801h
  ep7 shard 304/576 loss=0.837882  best=-inf wall=0.803h
  ep7 shard 305/576 loss=0.872862  best=-inf wall=0.806h
  ep7 shard 306/576 loss=0.902578  best=-inf wall=0.809h
  ep7 shard 307/576 loss=0.834959  best=-inf wall=0.812h
  ep7 shard 308/576 loss=0.859657  best=-inf wall=0.815h
  ep7 shard 309/576 loss=0.891405  best=-inf wall=0.818h
  ep7 shard 310/576 loss=0.863216  best=-inf wall=0.821h
  ep7 shard 311/576 loss=0.849085  best=-inf wall=0.824h
  ep7 shard 312/576 loss=0.878881  best=-inf wall=0.826h
  ep7 shard 313/576 loss=0.869005  best=-inf wall=0.829h
  ep7 shard 314/576 loss=0.837275  best=-inf wall=0.831h
  ep7 shard 315/576 loss=0.882903  best=-inf wall=0.834h
  ep7 shard 316/576 loss=0.802044  best=-inf wall=0.837h
  ep7 shard 317/576 loss=0.821724  best=-inf wall=0.84h
  ep7 shard 318/576 loss=0.859414  best=-inf wall=0.842h
  ep7 shard 319/576 loss=0.865358  best=-inf wall=0.843h
  ep7 shard 320/576 loss=0.828989  best=-inf wall=0.846h
  ep7 shard 321/576 loss=0.874247  best=-inf wall=0.848h
  ep7 shard 322/576 loss=0.884596  best=-inf wall=0.851h
  ep7 shard 323/576 loss=0.835353  best=-inf wall=0.854h
  ep7 shard 324/576 loss=0.858198  best=-inf wall=0.857h
  ep7 shard 325/576 loss=0.86554  best=-inf wall=0.859h
  ep7 shard 326/576 loss=0.878374  best=-inf wall=0.862h
  ep7 shard 327/576 loss=0.884435  best=-inf wall=0.865h
  ep7 shard 328/576 loss=0.855941  best=-inf wall=0.867h
  ep7 shard 329/576 loss=0.846155  best=-inf wall=0.869h
  ep7 shard 330/576 loss=0.868415  best=-inf wall=0.872h
  ep7 shard 331/576 loss=0.826806  best=-inf wall=0.875h
  ep7 shard 332/576 loss=0.851418  best=-inf wall=0.878h
  ep7 shard 333/576 loss=0.854793  best=-inf wall=0.88h
  ep7 shard 334/576 loss=0.851533  best=-inf wall=0.883h
  ep7 shard 335/576 loss=0.907431  best=-inf wall=0.885h
  ep7 shard 336/576 loss=0.83727  best=-inf wall=0.887h
