[arch] mlp hidden [512, 512, 256, 256] in=201, 0.911M params (0.563M deployable)
exp011 scalar [cpu]: 86 shards x 100 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
[resume] experiments/exp029-longrun/combined100/checkpoints/latest.pt absent — starting fresh
  ep2 shard 158/8600 loss=6.2e-05  best=-inf wall=0.766h
  ep2 shard 159/8600 loss=6.9e-05  best=-inf wall=0.772h
  ep2 shard 160/8600 loss=7.5e-05  best=-inf wall=0.777h
  ep2 shard 161/8600 loss=7e-05  best=-inf wall=0.782h
  ep2 shard 162/8600 loss=9.1e-05  best=-inf wall=0.787h
  ep2 shard 163/8600 loss=8.5e-05  best=-inf wall=0.79h
  ep2 shard 164/8600 loss=8.8e-05  best=-inf wall=0.795h
  ep2 shard 165/8600 loss=7.7e-05  best=-inf wall=0.8h
  ep2 shard 166/8600 loss=9.8e-05  best=-inf wall=0.806h
  ep2 shard 167/8600 loss=7.5e-05  best=-inf wall=0.811h
  ep2 shard 168/8600 loss=6.7e-05  best=-inf wall=0.816h
  ep2 shard 169/8600 loss=9.6e-05  best=-inf wall=0.821h
  ep2 shard 170/8600 loss=7.5e-05  best=-inf wall=0.826h
  ep2 shard 171/8600 loss=7.6e-05  best=-inf wall=0.832h
  ep2 shard 172/8600 loss=7e-05  best=-inf wall=0.837h
  saved epoch checkpoint -> experiments/exp029-longrun/combined100/checkpoints/ep2.pt
  ep3 shard 173/8600 loss=7.7e-05  best=-inf wall=0.842h
  ep3 shard 174/8600 loss=9.2e-05  best=-inf wall=0.847h
  ep3 shard 175/8600 loss=7e-05  best=-inf wall=0.852h
  ep3 shard 176/8600 loss=0.000112  best=-inf wall=0.857h
  ep3 shard 177/8600 loss=8.5e-05  best=-inf wall=0.862h
  ep3 shard 178/8600 loss=6.9e-05  best=-inf wall=0.864h
  ep3 shard 179/8600 loss=9e-05  best=-inf wall=0.869h
  ep3 shard 180/8600 loss=5.6e-05  best=-inf wall=0.875h
  ep3 shard 181/8600 loss=9.8e-05  best=-inf wall=0.88h
