[arch] mlp hidden [1024, 1024, 512, 512] in=201, 2.738M params (2.044M deployable)
exp011 scalar [cpu]: 86 shards x 20 epochs, lr=0.001 holdout_frac=0.0 split_seed=14
[resume] experiments/exp030-capacity/width2x/checkpoints/latest.pt absent — starting fresh
  ep2 shard 154/1720 loss=0.000124  best=-inf wall=1.691h
  ep2 shard 155/1720 loss=8.1e-05  best=-inf wall=1.698h
  ep2 shard 156/1720 loss=8.4e-05  best=-inf wall=1.71h
  ep2 shard 157/1720 loss=0.00013  best=-inf wall=1.721h
  ep2 shard 158/1720 loss=0.000103  best=-inf wall=1.733h
  ep2 shard 159/1720 loss=6.4e-05  best=-inf wall=1.745h
  ep2 shard 160/1720 loss=6.3e-05  best=-inf wall=1.756h
  ep2 shard 161/1720 loss=0.000114  best=-inf wall=1.768h
  ep2 shard 162/1720 loss=8.1e-05  best=-inf wall=1.779h
  ep2 shard 163/1720 loss=6.3e-05  best=-inf wall=1.786h
  ep2 shard 164/1720 loss=7.6e-05  best=-inf wall=1.798h
  ep2 shard 165/1720 loss=8.7e-05  best=-inf wall=1.81h
  ep2 shard 166/1720 loss=7.2e-05  best=-inf wall=1.821h
  ep2 shard 167/1720 loss=7e-05  best=-inf wall=1.833h
  ep2 shard 168/1720 loss=8.1e-05  best=-inf wall=1.844h
  ep2 shard 169/1720 loss=8.3e-05  best=-inf wall=1.856h
  ep2 shard 170/1720 loss=7.1e-05  best=-inf wall=1.867h
  ep2 shard 171/1720 loss=0.000106  best=-inf wall=1.879h
  ep2 shard 172/1720 loss=8.7e-05  best=-inf wall=1.89h
  saved epoch checkpoint -> experiments/exp030-capacity/width2x/checkpoints/ep2.pt
  ep3 shard 173/1720 loss=0.000107  best=-inf wall=1.902h
  ep3 shard 174/1720 loss=7.2e-05  best=-inf wall=1.914h
  ep3 shard 175/1720 loss=7.6e-05  best=-inf wall=1.925h
  ep3 shard 176/1720 loss=7e-05  best=-inf wall=1.937h
  ep3 shard 177/1720 loss=5.7e-05  best=-inf wall=1.949h
  ep3 shard 178/1720 loss=6.8e-05  best=-inf wall=1.952h
  ep3 shard 179/1720 loss=8.2e-05  best=-inf wall=1.964h
  ep3 shard 180/1720 loss=8.5e-05  best=-inf wall=1.976h
  ep3 shard 181/1720 loss=7.5e-05  best=-inf wall=1.988h
